"ID","Source","Family","Species","CommonName","Island","FirstRecorded","Notes"
"1691","Insects of Micronesia 6(7)","Pseudococcidae","Dysmicoccus saipanensis (Shiraiwa)",NULL,"Map","1950",NULL
"1692","Insects of Micronesia 6(7)","Pseudococcidae","Dysmicoccus saipanensis (Shiraiwa)",NULL,"Yap","1949",NULL
"1693","Insects of Micronesia 6(7)","Pseudococcidae","Dysmicoccus saipanensis (Shiraiwa)",NULL,"Lamotrek","1950",NULL
"1694","Insects of Micronesia 6(7)","Pseudococcidae","Dysmicoccus saipanensis (Shiraiwa)",NULL,"Faraulep","1964",NULL
"1695","Insects of Micronesia 6(7)","Pseudococcidae","Dysmicoccus saipanensis (Shiraiwa)",NULL,"Woleai","1946",NULL
"1696","Insects of Micronesia 6(7)","Pseudococcidae","Dysmicoccus saipanensis (Shiraiwa)",NULL,"Ifaluk","1953",NULL
"1697","Insects of Micronesia 6(7)","Pseudococcidae","Dysmicoccus saipanensis (Shiraiwa)",NULL,"Nukuoru","1946",NULL
"1698","Insects of Micronesia 6(7)","Pseudococcidae","Dysmicoccus saipanensis (Shiraiwa)",NULL,"Nomwin","1954",NULL
"1699","Insects of Micronesia 6(7)","Pseudococcidae","Dysmicoccus saipanensis (Shiraiwa)",NULL,"Nama","1952",NULL
"1700","Insects of Micronesia 6(7)","Pseudococcidae","Dysmicoccus saipanensis (Shiraiwa)",NULL,"Fefan","1946",NULL
"1701","Insects of Micronesia 6(7)","Pseudococcidae","Dysmicoccus saipanensis (Shiraiwa)",NULL,"Pis","1946",NULL
"1702","Insects of Micronesia 6(7)","Pseudococcidae","Dysmicoccus saipanensis (Shiraiwa)",NULL,"Ponape","1946",NULL
"1703","Insects of Micronesia 6(7)","Pseudococcidae","Dysmicoccus saipanensis (Shiraiwa)",NULL,"Kusaie","1953",NULL
"1704","Insects of Micronesia 6(7)","Pseudococcidae","Dysmicoccus saipanensis (Shiraiwa)",NULL,"Lae","1953",NULL
"1705","Insects of Micronesia 6(7)","Pseudococcidae","Dysmicoccus saipanensis (Shiraiwa)",NULL,"Ailiglapalap","1946",NULL
"1706","Insects of Micronesia 6(7)","Pseudococcidae","Dysmicoccus saipanensis (Shiraiwa)",NULL,"Majuro","1946",NULL
"1707","Insects of Micronesia 6(7)","Pseudococcidae","Dysmicoccus saipanensis (Shiraiwa)",NULL,"Jaluit","1946",NULL
"1708","Insects of Micronesia 6(7)","Pseudococcidae","Dysmicoccus wisteriae (Green)",NULL,"Butaritari","1957",NULL
"1709","Insects of Micronesia 6(7)","Pseudococcidae","Ferrisia virgata (Cockerell)",NULL,"Saipan","1946",NULL
"1710","Insects of Micronesia 6(7)","Pseudococcidae","Ferrisia virgata (Cockerell)",NULL,"Tinian","1946",NULL
"1711","Insects of Micronesia 6(7)","Pseudococcidae","Ferrisia virgata (Cockerell)",NULL,"Guam","1911",NULL
"1712","Insects of Micronesia 6(7)","Pseudococcidae","Ferrisia virgata (Cockerell)",NULL,"Koror","1948",NULL
"1713","Insects of Micronesia 6(7)","Pseudococcidae","Ferrisia virgata (Cockerell)",NULL,"Yap","1948",NULL
"1714","Insects of Micronesia 6(7)","Pseudococcidae","Ferrisia virgata (Cockerell)",NULL,"Wena(Moen)","1946",NULL
"1715","Insects of Micronesia 6(7)","Pseudococcidae","Ferrisia virgata (Cockerell)",NULL,"Tonoas(Dublon)","1946",NULL
"1716","Insects of Micronesia 6(7)","Pseudococcidae","Ferrisia virgata (Cockerell)",NULL,"Pis","1946",NULL
"1717","Insects of Micronesia 6(7)","Pseudococcidae","Ferrisia virgata (Cockerell)",NULL,"Totiu(Param)","1949",NULL
"1718","Insects of Micronesia 6(7)","Pseudococcidae","Ferrisia virgata (Cockerell)",NULL,"Ponape","1946",NULL
"1719","Insects of Micronesia 6(7)","Pseudococcidae","Ferrisia virgata (Cockerell)",NULL,"Ailiglapalap","1946",NULL
"1720","Insects of Micronesia 6(7)","Pseudococcidae","Ferrisia virgata (Cockerell)",NULL,"Ujelang","1953",NULL
"1721","Insects of Micronesia 6(7)","Pseudococcidae","Ferrisia virgata (Cockerell)",NULL,"Rongelap","1963",NULL
"1722","Insects of Micronesia 6(7)","Pseudococcidae","Ferrisia virgata (Cockerell)",NULL,"Majuro","1950",NULL
"1723","Insects of Micronesia 6(7)","Pseudococcidae","Ferrisia virgata (Cockerell)",NULL,"Wake","1941",NULL
"1724","Insects of Micronesia 6(7)","Pseudococcidae","Ferrisia virgata (Cockerell)",NULL,"Tarawa","1956",NULL
"1725","Insects of Micronesia 6(7)","Pseudococcidae","Geococcus coffeae Green",NULL,"Koror","1937",NULL
"1726","Insects of Micronesia 6(7)","Pseudococcidae","Geococcus coffeae Green",NULL,"Ton(Tol)","1953",NULL
"1727","Insects of Micronesia 6(7)","Pseudococcidae","Geococcus coffeae Green",NULL,"Kusaie","1953",NULL
"1728","Insects of Micronesia 6(7)","Pseudococcidae","Laminococcus pandani (Cockerell)",NULL,"Eauripik","1958",NULL
"1729","Insects of Micronesia 6(7)","Pseudococcidae","Laminococcus pandani (Cockerell)",NULL,"Woleai","1953",NULL
"1730","Insects of Micronesia 6(7)","Pseudococcidae","Laminococcus pandani (Cockerell)",NULL,"Nomwin","1954",NULL
"1731","Insects of Micronesia 6(7)","Pseudococcidae","Laminococcus pandani (Cockerell)",NULL,"Losap","1952",NULL
"1732","Insects of Micronesia 6(7)","Pseudococcidae","Laminococcus pandani (Cockerell)",NULL,"Kapingamarangi","1954",NULL
"1733","Insects of Micronesia 6(7)","Pseudococcidae","Laminococcus pandani (Cockerell)",NULL,"Nukuoru","1946",NULL
"1734","Insects of Micronesia 6(7)","Pseudococcidae","Laminococcus pandani (Cockerell)",NULL,"Pis","1946",NULL
"1735","Insects of Micronesia 6(7)","Pseudococcidae","Laminococcus pandani (Cockerell)",NULL,"Wena(Moen)","1949",NULL
"1736","Insects of Micronesia 6(7)","Pseudococcidae","Laminococcus pandani (Cockerell)",NULL,"Ponape","1938",NULL
"1737","Insects of Micronesia 6(7)","Pseudococcidae","Laminococcus pandani (Cockerell)",NULL,"Ujelang","1953",NULL
"1738","Insects of Micronesia 6(7)","Pseudococcidae","Laminococcus pandani (Cockerell)",NULL,"Tarawa","1957",NULL
"1739","Insects of Micronesia 6(7)","Pseudococcidae","Laminococcus pandani (Cockerell)",NULL,"Kwajalein","1948",NULL
"1740","Insects of Micronesia 6(7)","Pseudococcidae","Laminococcus pandani (Cockerell)",NULL,"Likiep","1946",NULL
"1741","Insects of Micronesia 6(7)","Pseudococcidae","Laminococcus pandani (Cockerell)",NULL,"Butaritari","1957",NULL
"1742","Insects of Micronesia 6(7)","Pseudococcidae","Laminococcus pandani (Cockerell)",NULL,"Tarawa","1957",NULL
"1743","Insects of Micronesia 6(7)","Pseudococcidae","Neosimmondsia esakii Takahashi",NULL,"Ponape","1938",NULL
"1744","Insects of Micronesia 6(7)","Pseudococcidae","Palaucoccus gressitti Beardsley",NULL,"Babelthuap","1952",NULL
